Name,Category,Latitude,Longitude
Cafe van Mila,Kafe,-6.9168888,106.9039197
Ngopi di Kebon Awi,Kafe,-6.9131781,106.9086526
VD Coffee,Kedai Kopi,-6.9106222,106.8975234
Kabumi Garden,Kafe,-6.9049059,106.8777305
Kedai Kopi Nusantara Sukabumi,Kafe,-6.9072209,106.8737166
Bike & Caffeine,Kedai Kopi,-6.9074908,106.8909719
Coffee.Sejiwa,Kedai Kopi,-6.9063086,106.8961914
Teras Cafe,Kafe,-6.8960252,106.8591933
Kedai neng iteung,Kantor Perusahaan,-6.9126413,106.8995452
Like Earth Coffee,Kedai Kopi,-6.917897,106.9303913
D'Green Resto and Coffee,Kafe,-6.9073637,106.9372068
Seecul Coffee Bar,Kedai Kopi,-6.916904,106.9040144
Perdana Coffee,Kedai Kopi,-6.9079964,106.8916931
Kabar Baik,Restoran,-6.9097521,106.8746508
Habit Coffee,Kedai Kopi,-6.9142624,106.9199599
Moonshine Coffee & Space,Kedai Kopi,-6.8843541,106.9064907
Mason Coffee,Kedai Kopi,-6.9166737,106.9081878
Tifanice cafe & wisata,Kafe,-6.9161129,106.8842193
Yume Coffee,Kedai Kopi,-6.9171048,106.929665
Red Brick Cafe,Restoran,-6.9400865,106.9235813
Kamsia Boba Sukabumi - Cisaat,Kafe,-6.9071756,106.8905146
Analog Koffiehuis,Kedai Kopi,-6.9175853,106.9182901
BC SUKMA ( Sukabumi MAXIM ),Kedai Kopi,-6.9070421,106.9018241
ASA Cafe,Kedai Kopi,-6.906513,106.8736992
Sunda Coffee & Space (Coffee Shop & Creative Space),Kedai Kopi,-6.9172988,106.9324639
Garden city,Kafe,-6.9205311,106.9292178
Aurora Sky Grill & Cafe,Kafe,-6.9162686,106.9179789
Khumaira Cafe,Kedai Kopi,-6.8985113,106.8995536
Discovery Rooftop Cafe,Kafe,-6.9102577,106.9213868
Susu Murni Wangsit Sukabumi,Kafe,-6.9106352,106.8951056
ABADI CAFE - COFFE & BOBA Cibaraja,Kedai Kopi,-6.9011997,106.8818975
Everbloom Cafe,Kafe,-6.9139579,106.9303695
PRIDE PALACE COFFE N EATERY ( MUSIC & HOBBIES SPACE),Kafe,-6.9169895,106.9305169
Haus! Dago Sukabumi,Kafe,-6.9203866,106.9309622
Dago House Food and Coffee Bar,Kedai Kopi,-6.919988,106.9310191
Kukira Coffee,Kedai Kopi,-6.9187496,106.9163431
Praline Sukabumi,Restoran,-6.9138936,106.9336072
Barn Coffee,Kedai Kopi,-6.9224475,106.9339727
Gourmet Coffeenery,Kedai Kopi,-6.9204149,106.930855
Mokopi Jungle,Kedai Kopi,-6.8840526,106.9449618
SK CAFE Coffee Bar & Resto,Kafe,-6.9016903,106.8346442
The Gade Corner Coffee and Gold Sukabumi,Kedai Kopi,-6.9284842,106.9263937
Kopi Janji Jiwa Sukabumi,Kedai Kopi,-6.916138,106.9174114
Rutinitas coffee,Kedai Kopi,-6.9225111,106.944953
Seecul Coffee Bar,Kedai Kopi,-6.9202731,106.9273496
KUSBICK COFFEE,Kafe,-6.9156088,106.9269584
TOMORO COFFEE SUKABUMI TOSERBA SELAMAT,Kedai Kopi,-6.921026,106.9345486
Tikkum,Kafe,-6.9178775,106.9323851
Viesta Coffee & Dining,Kafe,-6.9138142,106.9351942
Coffee Chaproek,Bar Kopi Espresso,-6.921457,106.9234728
KANASPACEID,Kedai Kopi,-6.8880953,106.9001196
Casa de Coffee,Kedai Kopi,-6.9173561,106.9294586
Fore Coffee - Citimall Sukabumi,Kafe,-6.922197,106.9287538
K&J Coffee,Kedai Kopi,-6.9145677,106.9292051
C'KOPI GAUD,Kafe,-6.9216695,106.9249364
Somewhere Coffee,Kedai Kopi,-6.8939638,106.94169
Kopi Tekun Sukabumi,Kedai Kopi,-6.9202609,106.9309856
Kaisha palace Food and coffee,Kafe seni,-6.9178803,106.9363358
MOKODO SPACE,Kafe,-6.9337058,106.9249425
MARA cafe,Kedai Kopi,-6.916477,106.93573
Seecul Coffee Bar,Kedai Kopi,-6.9175535,106.9299471
Kopitiam Zakse,Kedai Kopi,-6.9223259,106.93087
Dakara Coffee Sukabumi,Kedai Kopi,-6.9183943,106.9105151
Brue,Kedai Kopi,-6.917467,106.9313126
Mouvie Cafe,Kafe,-6.8581436,106.9492343
PlayClub Coffee,Kedai Kopi,-6.9214966,106.9272189
Tji Colle Eatery And Coffe Shop,Kedai Kopi,-6.9169895,106.9305169
Esteh Indonesia Sukabumi,Kafe,-6.920619,106.921985
Cafe Nyoempoet,Sesuai untuk keluarga,-6.9459253,106.9130487
Kopibumi Sukabumi,Kafe,-6.8808025,106.9044169
Chade cafe,Kafe,-6.9124876,106.8997186
Kedai Kopi 35,Kafe,-6.9110476,106.9346821
Seecul Signature Kaum,Kedai Kopi,-6.9200698,106.9253477
Co-Feed Coffee,Kedai Kopi,-6.9174808,106.932235
Kopi Nako Sukabumi,Kedai Kopi,-6.9050142,106.9415424
The Backyard Cafe by Berkah,Kedai Kopi,-6.9490327,106.9189909
Sukabumi Coffee Center,Kedai Kopi,-6.9215855,106.9268733
Laoban Kopitiam By Uncle Osh Sukabumi,Kedai Kopi,-6.9085068,106.936698
Bistro 99 Resto & Cafe,Kafe,-6.9214846,106.9220268
Ground 68 Coffe & Eatery,Kafe,-6.9186607,106.9368091
Ground 68 Coffe & Eatery,Kafe,-6.9186607,106.9368091
HAUS BENTENG SUKABUMI,Kedai Kopi,-6.9215496,106.9226938
MABES WARRIOR COFEE SUKABUMI,Kedai Kopi,-6.9117749,106.9023289
Butler Bar & Bistro,Restoran,-6.9142644,106.9353048
Starbucks Siliwangi Sukabumi,Kedai Kopi,-6.9182585,106.9363307
Kopi Kamana - Sriwidari,Kedai Kopi,-6.9173096,106.9258393
Milan Pizzeria Cafe,Kafe,-6.9188451,106.9282451
Kopi Pontis,Kafe,-6.8858975,106.8112061
All Sunday exp project,Kedai Kopi,-6.917984,106.9185139
KOPDARAN YMCI CHAPTER SUKABUMI,Kafe,-6.9218978,106.9263428
Mr Ebood Sukabumi 1,Kafe,-6.9174929,106.9297769
KEDAI DM STREET FOOD SUKABUMI,Kedai Kopi,-6.9178556,106.9110689
Warkop bilakia Sukabumi,Kedai Kopi,-6.9036322,106.879944
Warga Holy,Kedai Kopi,-6.9128191,106.9331877
OREGONCOFFEEBAR,Kedai Kopi,-6.9469137,106.94039
Kedai Saribhumi,Kafe,-6.9173268,106.9313392
Point Coffee Fresh Raden Samsudin,Kedai Kopi,-6.9148532,106.9357845
Kalijodocoffee Sukabumi,Kedai Kopi,-6.9201946,106.9297307
Kopi Dermawan,Kafe,-6.9166462,106.9313158
KOPI SUKABUMI,Kedai Kopi,-6.9022225,106.8494287
"""Suatu Hari"" (creative space & mini cafe)",Kafe seni,-6.911936,106.933955
Brunch Recipe Cafe,Restoran,-6.9185184,106.9336938
The Secret Chamber Coffee,Kedai Kopi,-6.9107794,106.9349729
Anomaly Board Game Cafe,Kafe,-6.9175019,106.9363569
Warung Kopi PALUGADA Sukabumi,Kedai Kopi,-6.9109174,106.8956446
Delapan Belas Cafe,Kafe,-6.9121125,106.9621216
Ubi Cilembu Sukabumi,Kedai Kopi,-6.9018934,106.8470199
GBK Sukabumi,Kafe,-6.9219468,106.9268534
Mr.yos,Kedai Kopi,-6.9226835,106.9339108
Gang Makmoer,Restoran,-6.9174261,106.9313277
KANAWA,Restoran,-6.9103619,106.9357207
TAWACOFFEE SUKABUMI,Kedai Kopi,-6.9150631,106.9298832
Mason Coffee,Kedai Kopi,-6.8817859,106.9467529
The Uluwatu Galdery,Kedai Kopi,-6.8751112,106.9492287
Console coffee,Kedai Kopi,-6.921928,106.9268481
Photo Coffee Eat & Drink Sukabumi,Kafe,-6.9119694,106.9348388
Pusat Jajanan Sukabumi Dago,Kafe,-6.9182828,106.9314545
D'Joglo Odjo Dumeh,Kafe,-6.913357,106.928157
Satu Kenangan - Ahmad Yani Sukabumi,Kedai Kopi,-6.9219096,106.9264219
Kopi Merdeka Sukabumi,Kedai Kopi,-6.918832,106.9264121
Restaurant Sunda Rasa Sukabumi,Restoran Sunda,-6.918992,106.9367039
Rumah Makan Haroem Sari,Restoran,-6.9196963,106.9359431
De Kebondjati,Restoran,-6.9185767,106.9362257
PANORAMA RESTO AND CAFE,Restoran Sunda,-6.9509184,106.9210714
